row,col,code,name,,,,,,
8,4,B - E,Brisbane - East,,,,,,
7,3,B - N,Brisbane - North,,,,,,
9,3,B - S,Brisbane - South,,,,,,
8,2,B - W,Brisbane - West,,,,,,
8,3,B - IW,Brisbane Inner City,,,,,,
1,2,C,Cairns,,,,,,
5,1,DD - M,Darling Downs - Maranoa,,,,,,
4,2,F,Fitzroy,,,,,,
7,4,GC,Gold Coast,,,,,,
7,1,I,Ipswich,,,,,,
10,3,L - B,Logan - Beaudesert,,,,,,
3,2,M,Mackay,,,,,,
6,2,MB - N,Moreton Bay - North,,,,,,
7,2,MB - S,Moreton Bay - South,,,,,,
2,1,Q - O,Queensland - Outback,,,,,,
6,3,SC,Sunshine Coast,,,,,,
6,1,TO,Toowoomba,,,,,,
2,2,TV,Townsville,,,,,,
5,2,WB,Wide Bay,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
